uniqueId;serialNumber;name;Latitude;longitude;address;zipcode;city;country;category;active;moderated;model;;
LRSA0102;LR000BB00040;Lotissement les Feuillantines;-20.963548;55.645408;Lotissement les Feuillantines;97440;Saint-Andre;La reunion;installation-verre;1;0;;;
LRSA0105;LR000BB00041;chemin Lebon ;-20.966719;55.651676;chemin Lebon ;97440;Saint-Andre;La reunion;installation-verre;1;0;;;
LRSA0112;LR000BB00042;Route du Pont;-20.975355;55.645962;Route du Pont;97440;Saint-Andre;La reunion;installation-verre;1;0;;;
LRSA0114;LR000BB00043;Rue Maxime Laope;-20.975187;55.650686;Rue Maxime Laope;97440;Saint-Andre;La reunion;installation-verre;1;0;;;
LRSA0125;LR000BB00044;Lotissement Soleil;-20.965833;55.623322;Lotissement Soleil;97440;Saint-Andre;La reunion;installation-verre;1;0;;;
LRSA0129;LR000BB00045;Lotissement Diore;-20.98309;55.620054;Lotissement Diore;97440;Saint-Andre;La reunion;installation-verre;1;0;;;
LRSA0132;LR000BB00046;Rue des Limites;-20.971926;55.689978;Rue des Limites;97440;Saint-Andre;La reunion;installation-verre;1;0;;;
LRSA0134;LR000BB00047;lot Caramboles;-20.965916;55.647697;lot Caramboles;97440;Saint-Andre;La reunion;installation-verre;1;0;;;
LRSA0137;LR000BB00048;rue de la Communaute;-20.966993;55.654866;rue de la Communaute;97440;Saint-Andre;La reunion;installation-verre;1;0;;;
LRSAL006;LR000BB00049;Intersection Rue Georges Pompidou / Route de Bois de Pomme;-21.026326;55.539288;Intersection Rue Georges Pompidou / Route de Bois de Pomme;97433;Salazie;La reunion;installation-verre;1;0;;;
LRSAL012;LR000BB00050;Impasse Techer Appolidor;-21.06843;55.521369;Impasse Techer Appolidor;97433;Salazie;La reunion;installation-verre;1;0;;;
LRSAL017;LR000BB00051;Intersection Chemin Begue / Chemin de l'Aloes;-21.028666;55.50525;Intersection Chemin Begue / Chemin de l'Aloes;97433;Salazie;La reunion;installation-verre;1;0;;;
LRSAL027;LR000BB00052;Chemin du Cimetiere ;-21.029397;55.476397;Chemin du Cimetiere ;97433;Salazie;La reunion;installation-verre;1;0;;;
LRSAL029;LR000BB00053;au niveau du CASE;-21.03666;55.532754;au niveau du CASE;97433;Salazie;La reunion;installation-verre;1;0;;;
LRSAL033;LR000BB00054;route du Telepherique;-21.051147;55.530072;route du Telepherique;97433;Salazie;La reunion;installation-verre;1;0;;;
LRSB0005;LR000BB00055;Lotissement Chay-Pac-Thing;-21.011164;55.693196;Lotissement Chay-Pac-Thing;97470;Saint-Benoit;La reunion;installation-verre;1;0;;;
LRSB0008;LR000BB00056;Route Nationale 2 Site de la Cabane;-21.016154;55.700573;Route Nationale 2 Site de la Cabane;97470;Saint-Benoit;La reunion;installation-verre;1;0;;;
LRSB0011;LR000BB00057;Intersection Lotissement Oree / Rue Antoine Chauvet;-21.029615;55.706245;Intersection Lotissement Oree / Rue Antoine Chauvet;97470;Saint-Benoit;La reunion;installation-verre;1;0;;;
LRSB0017;LR000BB00058;Rue du Stade de l'Îlet;-21.034012;55.716295;Rue du Stade de l'Îlet;97470;Saint-Benoit;La reunion;installation-verre;1;0;;;
LRSB0021;LR000BB00059;Chemin Goyave;-21.036412;55.705612;Chemin Goyave;97470;Saint-Benoit;La reunion;installation-verre;1;0;;;
LRSB0022;LR000BB00060;Chemin Manes;-21.034152;55.69931;Chemin Manes;97470;Saint-Benoit;La reunion;installation-verre;1;0;;;
LRSB0025;LR000BB00061;Av Jean Jaures / Rue Pierre Leproux;-21.039851;55.719178;Av Jean Jaures / Rue Pierre Leproux;97470;Saint-Benoit;La reunion;installation-verre;1;0;;;
LRSB0029;LR000BB00062;Zone des Tamarins;-21.052184;55.716907;Zone des Tamarins;97470;Saint-Benoit;La reunion;installation-verre;1;0;;;
LRSB0032;LR000BB00063;Rue Du Stade jean allane;-21.044609;55.716127;Rue Du Stade jean allane;97470;Saint-Benoit;La reunion;installation-verre;1;0;;;
LRSB0035;LR000BB00064;route nationale 2;-21.076194;55.741284;route nationale 2;97470;Saint-Benoit;La reunion;installation-verre;1;0;;;
LRSB0036;LR000BB00065;Chemin de Cap;-21.070097;55.73406;Chemin de Cap;97470;Saint-Benoit;La reunion;installation-verre;1;0;;;
LRSB0042;LR000BB00066;Chemin Bassin Bleu;-21.082422;55.747523;Chemin Bassin Bleu;97470;Saint-Benoit;La reunion;installation-verre;1;0;;;
LRSB0044;LR000BB00067;Chemin Morange - Decheterie Sainte-Anne;-21.087198;55.742756;Chemin Morange - Decheterie Sainte-Anne;97470;Saint-Benoit;La reunion;installation-verre;1;0;;;
LRSB0052;LR000BB00068;Pont Riviere de l'Est;-21.122407;55.74661;Pont Riviere de l'Est;97470;Saint-Benoit;La reunion;installation-verre;1;0;;;
LRSB0054;LR000BB00069;Chemin Bellier;-21.028221;55.687334;Chemin Bellier;97470;Saint-Benoit;La reunion;installation-verre;1;0;;;
LRSB0057;LR000BB00070;Intersection Chemin l'Abondance ;-21.034487;55.676382;Intersection Chemin l'Abondance ;97470;Saint-Benoit;La reunion;installation-verre;1;0;;;
LRSB0065;LR000BB00071;chemin David Moreau;-21.050004;55.7146;chemin David Moreau;97470;Saint-Benoit;La reunion;installation-verre;1;0;;;
LRSB0066;LR000BB00072;rue Le Corbusier;-21.052479;55.712924;rue Le Corbusier;97470;Saint-Benoit;La reunion;installation-verre;1;0;;;
LRSB0068;LR000BB00073;Chemin Prevoisy;-21.050813;55.70555;Chemin Prevoisy;97470;Saint-Benoit;La reunion;installation-verre;1;0;;;
LRSB0070;LR000BB00074;Intersection Chemin Bras Madeleine / rue Maurice Sautron;-21.056452;55.698042;Intersection Chemin Bras Madeleine / rue Maurice Sautron;97470;Saint-Benoit;La reunion;installation-verre;1;0;;;
LRSB0074;LR000BB00075;Allee des Vergers;-21.068949;55.704014;Allee des Vergers;97470;Saint-Benoit;La reunion;installation-verre;1;0;;;
LRSB0078;LR000BB00076;Rue des Ravenales;-21.079974;55.695377;Rue des Ravenales;97470;Saint-Benoit;La reunion;installation-verre;1;0;;;
LRSB0085;LR000BB00077;Chemin des Azalees;-21.112193;55.725188;Chemin des Azalees;97470;Saint-Benoit;La reunion;installation-verre;1;0;;;
LRSB0088;LR000BB00078;Rue des Capucines;-21.088692;55.744957;Rue des Capucines;97470;Saint-Benoit;La reunion;installation-verre;1;0;;;
LRSB0093;LR000BB00079;Rue Françoise de Chatelain;-21.045637;55.723398;Rue Françoise de Chatelain;97470;Saint-Benoit;La reunion;installation-verre;1;0;;;
LRSB0095;LR000BB00080;Rue des Quatre Epices;-21.03916;55.714203;Rue des Quatre Epices;97470;Saint-Benoit;La reunion;installation-verre;1;0;;;
LRSB0098;LR000BB00081;Rue Palmier Royal;-21.029483;55.703685;Rue Palmier Royal;97470;Saint-Benoit;La reunion;installation-verre;1;0;;;
LRSB0107;LR000BB00082;angle rue Alexis de Villeneuve/rue Bertin;-21.031478;55.71416;angle rue Alexis de Villeneuve/rue Bertin;97470;Saint-Benoit;La reunion;installation-verre;1;0;;;
LRSB0109;LR000BB00083;Parc Fragrance;-21.038527;55.711311;Parc Fragrance;97470;Saint-Benoit;La reunion;installation-verre;1;0;;;
LRSB0111;LR000BB00084;rue des Dahlias;-21.055076;55.707208;rue des Dahlias;97470;Saint-Benoit;La reunion;installation-verre;1;0;;;
LRSR0002;LR000BB00085;Chemin Isidore;-21.120876;55.760606;Chemin Isidore;97439;Sainte-Rose;La reunion;installation-verre;1;0;;;
LRSR0008;LR000BB00086;Nationale 2;-21.128738;55.793273;Nationale 2;97439;Sainte-Rose;La reunion;installation-verre;1;0;;;
LRSR0012;LR000BB00087;Route Nationale 2;-21.136095;55.806242;Route Nationale 2;97439;Sainte-Rose;La reunion;installation-verre;1;0;;;
LRSR0015;LR000BB00088;Decheterie;-21.142217;55.810848;Decheterie;97439;Sainte-Rose;La reunion;installation-verre;1;0;;;
LRSR0021;LR000BB00089;Route Nationale 2;-21.161577;55.823989;Route Nationale 2;97439;Sainte-Rose;La reunion;installation-verre;1;0;;;
LRSR0030;LR000BB00090;Route Nationale 2;-21.19667;55.82054;Route Nationale 2;97439;Sainte-Rose;La reunion;installation-verre;1;0;;;
